Sorular : ;Cevaplar : 
JBoss EAP 8.1.5 migration'da bilinen uyarılar nelerdir?;"Infinispan marshaller: LEGACY kullanılıyor, ileride PROTOSTREAM veya JBOSS olarak değiştirilmeli. sun.misc.Unsafe: JDK 25 ile objectFieldOffset deprecated uyarısı veriyor, Elytron security manager'dan kaynaklanıyor. node-identifier: Transaction subsystem'de varsayılan değer kullanılıyor, multi-server ortamda unique yapılmalı. Bu uyarılar kritik değildir."
EAP nedir?;"Enterprise Application Platform demektir. Red Hat JBoss EAP uygulama sunucusudur."
JDK nedir?;"Java Development Kit demektir. Bu migration'da JDK 25.0.1 kullanılmıştır."
JBoss Server Migration Tool nedir?;"JBoss EAP konfigürasyonlarını bir EAP versiyonundan diğerine taşımak için kullanılan Red Hat aracıdır. standalone.xml, modüller ve datasource'ları migrate eder."
JBoss EAP Installation Manager nedir?;"JBoss EAP'yi offline veya online olarak kurmak için kullanılan Red Hat kurulum yöneticisidir. Bu migration'da offline Maven repository ile EAP 8.1.5 kurulumu yapılmıştır."
Elytron nedir?;"JBoss EAP'te güvenlik (security) altyapısıdır. Migration Tool, legacy security realm'lerini Elytron'a dönüştürmüştür."
Abbaküs.ear nedir?;"abbt2 sunucusuna deploy edilen ana uygulamadır. Boyutu 71 MB'dır. Web context'i /Kybele'dir."
jconn4 nedir?;"Sybase JDBC driver'dır. Abbaküs.ear ile birlikte C:\JBoss\jboss-eap-8.1\standalone\deployments\ dizinine deploy edilmiştir."
JBoss EAP 7.4 to 8.1 Migration referans linkleri nelerdir?;"EAP 8.1 Migration Guide, JBoss Server Migration Tool (EAP 8.1) dokümantasyonu, EAP 8.1 Installation Methods, javax -> jakarta Namespace Değişikliği rehberi ve Red Hat Customer Portal EAP Downloads sayfası kullanılabilir."
JBoss EAP migration installer dosyaları nereden alındı?;"kybt2 sunucusundan alınan installer dosyaları ile offline kurulum yapılmıştır."
javax jakarta namespace değişikliği migration ile ilgili midir?;"Evet, EAP 8 geçişinde javax -> jakarta namespace değişikliği uygulama migrasyonu açısından önemlidir. Referans: Red Hat EAP Migration Guide Application Migration from Jakarta EE 8 to EE 10."
